#FOR THE FULL HISTORICAL DATA VISIT : https://ork.ad
time,open,high,low,close,volume
2026-01-04T22:05:00Z,0.791858,0.791858,0.790928,0.791288,24.0
2026-01-04T22:10:00Z,0.791288,0.791358,0.790858,0.790978,84.0
2026-01-04T22:15:00Z,0.790978,0.791648,0.790178,0.791528,169.0
2026-01-04T22:20:00Z,0.791528,0.791528,0.79131,0.79131,5.0
2026-01-04T22:25:00Z,0.79131,0.791598,0.791098,0.791598,54.0
2026-01-04T22:30:00Z,0.791598,0.792028,0.791508,0.792008,55.0
2026-01-04T22:35:00Z,0.792008,0.792358,0.792008,0.792348,24.0
2026-01-04T22:40:00Z,0.792348,0.792378,0.792298,0.792348,42.0
2026-01-04T22:45:00Z,0.792348,0.792378,0.792338,0.792368,14.0
2026-01-04T22:50:00Z,0.792368,0.792378,0.792288,0.792298,28.0
2026-01-04T22:55:00Z,0.792298,0.792748,0.792238,0.792748,246.0
2026-01-04T23:00:00Z,0.792748,0.793538,0.792038,0.793328,470.0
2026-01-04T23:05:00Z,0.793328,0.793328,0.792498,0.79251,259.0
2026-01-04T23:10:00Z,0.79251,0.792538,0.792448,0.792458,95.0
2026-01-04T23:15:00Z,0.792458,0.792538,0.792388,0.792538,103.0
2026-01-04T23:20:00Z,0.792538,0.79271,0.792528,0.79261,107.0
2026-01-04T23:25:00Z,0.79261,0.792848,0.79261,0.792808,152.0
2026-01-04T23:30:00Z,0.792808,0.793068,0.792808,0.793008,214.0
2026-01-04T23:35:00Z,0.793008,0.79311,0.792988,0.793088,178.0
2026-01-04T23:40:00Z,0.793088,0.793308,0.793078,0.793258,381.0
2026-01-04T23:45:00Z,0.793258,0.793348,0.793098,0.793158,574.0
2026-01-04T23:50:00Z,0.793158,0.793358,0.793,0.793308,597.0
2026-01-04T23:55:00Z,0.793308,0.793458,0.79321,0.793248,488.0
2026-01-05T00:00:00Z,0.793248,0.793308,0.792668,0.792668,965.0
2026-01-05T00:05:00Z,0.792668,0.792878,0.792368,0.792368,969.0
2026-01-05T00:10:00Z,0.792368,0.792598,0.792278,0.792598,717.0
2026-01-05T00:15:00Z,0.792598,0.792768,0.792548,0.792588,544.0
2026-01-05T00:20:00Z,0.792588,0.792688,0.792458,0.792578,474.0
2026-01-05T00:25:00Z,0.792578,0.792648,0.792398,0.792628,461.0
2026-01-05T00:30:00Z,0.792628,0.792658,0.792398,0.792508,586.0
2026-01-05T00:35:00Z,0.792508,0.792678,0.792498,0.792638,548.0
2026-01-05T00:40:00Z,0.792638,0.792788,0.792598,0.792628,478.0
2026-01-05T00:45:00Z,0.792628,0.792798,0.792598,0.792748,547.0
2026-01-05T00:50:00Z,0.792748,0.792958,0.792688,0.79291,676.0
2026-01-05T00:55:00Z,0.79291,0.792988,0.792778,0.792888,550.0
2026-01-05T01:00:00Z,0.792888,0.792988,0.79261,0.792828,1036.0
2026-01-05T01:05:00Z,0.792828,0.792978,0.792358,0.792408,846.0
2026-01-05T01:10:00Z,0.792408,0.792628,0.792168,0.792488,850.0
2026-01-05T01:15:00Z,0.792488,0.79251,0.792288,0.792448,754.0
2026-01-05T01:20:00Z,0.792448,0.792488,0.792168,0.792398,731.0
2026-01-05T01:25:00Z,0.792398,0.792865857079285,0.792348,0.792858,638.0
2026-01-05T01:30:00Z,0.792858,0.792968,0.792738,0.792848,608.0
2026-01-05T01:35:00Z,0.792848,0.792878,0.792648,0.792688,578.0
2026-01-05T01:40:00Z,0.792688,0.792828,0.792548,0.792558,407.0
2026-01-05T01:45:00Z,0.792558,0.792558,0.792378,0.792488,527.0
2026-01-05T01:50:00Z,0.792488,0.792708,0.792468,0.7926958536792681,586.0
2026-01-05T01:55:00Z,0.7926958536792681,0.792838,0.792688,0.792745854679273,745.0
2026-01-05T02:00:00Z,0.792745854679273,0.792878,0.792608,0.792728,738.0
2026-01-05T02:05:00Z,0.792728,0.793078,0.792658,0.792968,546.0
2026-01-05T02:10:00Z,0.792968,0.793,0.792828,0.792838,471.0
2026-01-05T02:15:00Z,0.792838,0.792958,0.792788,0.792958,425.0
2026-01-05T02:20:00Z,0.792958,0.793148,0.792938,0.79311,359.0
2026-01-05T02:25:00Z,0.79311,0.793248,0.793,0.79311,512.0
2026-01-05T02:30:00Z,0.79311,0.79321,0.792988,0.793068,347.0
2026-01-05T02:35:00Z,0.793068,0.793408,0.793068,0.793288,609.0
2026-01-05T02:40:00Z,0.793288,0.7935258702793511,0.793288,0.793458,580.0
2026-01-05T02:45:00Z,0.793458,0.793498,0.793305865879329,0.793355866879334,502.0
2026-01-05T02:50:00Z,0.793355866879334,0.79351,0.793278,0.793498,414.0
2026-01-05T02:55:00Z,0.793498,0.793648,0.793458,0.793608,479.0
2026-01-05T03:00:00Z,0.793608,0.793628,0.793328,0.793438,606.0
2026-01-05T03:05:00Z,0.793438,0.793788,0.793438,0.793708,482.0
2026-01-05T03:10:00Z,0.793708,0.793998,0.793708,0.793958,417.0
2026-01-05T03:15:00Z,0.793958,0.794198,0.793928,0.794188,587.0
2026-01-05T03:20:00Z,0.794188,0.794678,0.794188,0.794678,518.0
2026-01-05T03:25:00Z,0.794678,0.79471,0.794525890279451,0.794648,610.0
2026-01-05T03:30:00Z,0.794648,0.794848,0.794628,0.794798,523.0
2026-01-05T03:35:00Z,0.794798,0.794868,0.794468,0.794728,653.0
2026-01-05T03:40:00Z,0.794728,0.794878,0.794658,0.79481,585.0
2026-01-05T03:45:00Z,0.79481,0.794958,0.794738,0.794778,491.0
2026-01-05T03:50:00Z,0.794778,0.794778,0.794548,0.794738,366.0
2026-01-05T03:55:00Z,0.794738,0.794908,0.794728,0.794908,502.0
2026-01-05T04:00:00Z,0.794908,0.795058,0.794808,0.794908,810.0
2026-01-05T04:05:00Z,0.794908,0.79491589807949,0.794758,0.794838,437.0
2026-01-05T04:10:00Z,0.794838,0.795028,0.79481,0.794848,392.0
2026-01-05T04:15:00Z,0.794848,0.794928,0.794658,0.794688,407.0
2026-01-05T04:20:00Z,0.794688,0.794788,0.794648,0.794678,407.0
2026-01-05T04:25:00Z,0.794678,0.794828,0.794678,0.794788,272.0
2026-01-05T04:30:00Z,0.794788,0.79481,0.794368,0.79441,452.0
2026-01-05T04:35:00Z,0.79441,0.794458,0.794298,0.794388,393.0
2026-01-05T04:40:00Z,0.794388,0.794388,0.794228,0.794298,521.0
2026-01-05T04:45:00Z,0.794298,0.7943058858794291,0.794098,0.79411,388.0
2026-01-05T04:50:00Z,0.79411,0.794298,0.794108,0.794178,326.0
2026-01-05T04:55:00Z,0.794178,0.794208,0.794078,0.794198,539.0
2026-01-05T05:00:00Z,0.794198,0.794248,0.794135882479412,0.794178,415.0
2026-01-05T05:05:00Z,0.794178,0.794188,0.794068,0.794078,290.0
